dm_desc	frequency
Endothelial protein C receptor	7
Ferredoxin-like domain from acyl transferase MAT	7
Proteasome regulatory subunit Rpn11 coiled coil regions	7
Ribosomal protein L21p	7
Xylanase inhibitor TAXI-I	7
Regulatory factor Nef	7
Bacterial luciferase beta chain, LuxB	7
Peptidyl-prolyl cis-trans isomerase-like 1, PPIL1	7
Tumor necrosis factor (TNF) receptor, middle domain	7
Cdc4 F-box and linker domains	7
Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor	7
Cell-division protein ZipA, C-terminal domain	7
ATP synthase subunit d, mitochondrial	7
Cellulosomal scaffoldin adaptor protein B, ScaB	7
Wnt deacylase notum	7
NADH-quinone oxidoreductase subunit A, NuoA/Nqo7	7
RNA polymerase I subunit A14	7
Chagasin	7
TIMP-2	7
Preprotein translocase SecE subunit	7
p50 RhoGAP domain	7
Diphtheria toxin, middle domain	7
Diphtheria toxin, N-terminal domain	7
Hepatocyte nuclear factor 4-alpha	7
Diphtheria toxin, C-terminal domain	7
p47pox (neutrophil cytosolic factor 1)	7
Acyltransferase domain N-terminal linker	7
Iron-regulated surface determinant protein H, IsdH	7
Pre-mRNA splicing factor Prp45	7
TOB1, N-terminal domain	7
Kynurenine--oxoglutarate transaminase I	7
CksHs1	7
NADPH-cytochrome p450 reductase, N-terminal domain	7
Integrin beta A domain	7
Type II inosine monophosphate dehydrogenase CBS domains	7
Hypothetical protein PA4866	7
Carboxypeptidase inhibitor	7
RGS9, RGS domain	7
Splicing factor U2AF 65 KDa subunit	7
Steroid hormone receptor ERR1	7
TonB	7
Regulatory protein C.BclI	6
Riboflavin kinase	6
Ribosomal RNA-processing protein 40, RRP40	6
DNA-directed RNA polymerase subunit L, RpoL	6
O-GlcNAc transferase, OGT	6
14-3-3 protein cgd1_2980	6
B12-dependent (class II) ribonucleotide reductase	6
B2	6
Hypothetical protein Bxeno_B2006	6
Hypothetical protein BT3618, N-terminal domain	6
Chicken cartilage matrix protein	6
DNA repair protein RAD25	6
Vaginolysin C-terminal domain	6
DNA replication factor Cdt1	6
Nucleoside-specific channel-forming protein tsx (NupA)	6
Hypothetical protein BT3618, C-terminal domain	6
Pheromone binding protein PBPLma	6
Transcription factor FapR, C-terminal domain	6
Relaxin	6
Hypothetical protein NE2111	6
BRCA2 tower domain	6
Molybdate-binding protein, ModA	6
Mollusc hemocyanin	6
Thymidine phosphorylase	6
BRCA2 helical domain	6
Cation-independent mannose-6-phosphate receptor (MIR-receptor)	6
Hypothetical protein NE2512	6
Decay-accelerating factor bound to echovirus 7	6
2,6-dihydropseudooxynicotine hydrolase	6
Nucleoporin 35	6
DTDP-4-dehydrorhamnose reductase RfbD	6
Nitrobenzene dioxygenase alpha subunit, NBDO-alpha	6
Hypothetical protein CC0111	6
NSP3 C-terminal domain, NS34	6
DNA repair endonuclease Hap1	6
PhoB	6
Cytochrome O ubiquinol oxidase, subunit I	6
C-fos	6
Necrovirus coat protein	6
Neural cell adhesion molecule (NCAM)	6
Nine-heme cytochrome c	6
Hypothetical protein TT1679	6
Octoprenyl-diphosphate synthase	6
Src-associated adaptor protein Skap2	6
Squalene synthase	6
Proteasome regulatory subunit Rpn2, C-terminal domain	6
Hypothetical protein PF0355	6
Proteasome regulatory subunit Rpn2, N-terminal domain	6
Hypothetical protein PA2260	6
Pre-mRNA splicing factor Cwf7	6
Nif3-related protein BC4286	6
Regulator of RNase E activity RraA (MenG)	6
Erythromycin polyketide synthase	6
Peroxisomal multifunctional enzyme type 2	6
C-terminal domain of NSF-N, NSF-Nc	6
Peroxisomal membrane protein Pex13p	6
Chloroperoxidase L	6
Hypothetical protein TTHA0516	6
DNA mismatch repair protein MutL	6
Poly(A) polymerase, PAP, C-terminal domain	6
Hypothetical protein BH3498	6
(3R)-hydroxyacyl-CoA dehydrogenase domain of estradiol 17 beta-Dehydrogenase 4	6
Erythropoietin (EPO) mimetic peptides	6
Uncharacterized protein PA3332	6
Proteasome regulatory subunit Rpn6, C-terminal domain	6
Hypothetical protein TT1696	6
Poly(A) polymerase, PAP, N-terminal domain	6
Staphopain B, prodomain	6
Nigerythrin, C-terminal domain	6
Transcriptional regulator CueR	6
Hypothetical protein PG1108	6
1,4-alpha-glucan branching enzyme, central domain	6
1,4-alpha-glucan branching enzyme, N-terminal domain N	6
Uncharacterized protein SP1450	6
Mitochondrial peptidyl-prolyl cis-trans isomerase, cyclophilin F	6
Reovirus attachment protein sigma 1	6
Sorbose permease subunit IIb , EIIb-sor	6
Vaginolysin N-terminal domain	6
1,4-alpha-glucan branching enzyme	6
1,3-Glucuronyltransferase I (glcAT-I)	6
Mitochondrial import inner membrane translocase subunit Tim10	6
0.19 alpha-amylase inhibitor	6
C-terminal autoproteolytic domain of nucleoporin nup98	6
CDC6-like protein APE0152, C-terminal domain	6
OB-fold domains of BRCA2, C-terminal domain	6
OB-fold domains of BRCA2, N- and middle domain	6
Pre-mRNA splicing factor Phf5 / Rds3	6
CDC6-like protein APE0152, N-terminal domain	6
Phosphonoacetate hydrolase	6
B.subtilis YugU ortolog CAC0907	6
Nigerythrin, N-terminal domain	6
Poly(A) polymerase, PAP, middle domain	6
Bacterial aa3 type cytochrome c oxidase subunit IV	6
Semaphorin 4d	6
Hypothetical protein Cgl1923	6
TnsA endonuclease, C-terminal domain	6
Disabled homolog 1 (Dab1)	6
Cytolethal distending toxin subunit C	6
Probable acetyltransferase TTHA1209	6
Ribonuclease Z (RNase Z)	6
Beta-1,3-glucuronyltransferase 1, GlcAT-P	6
Sticholysin II	6
Stf0 sulfotransferase	6
Myocyte enhancer factor Mef2a core	6
TnsA endonuclease, N-terminal domain	6
Cytolethal distending toxin subunit A	6
Uncharacterized protein YokD	6
Cytosolic IMP-GMP specific 5'-nucleotidase	6
suc1	6
Non-symbiotic plant hemoglobin	6
Stromelysin-2 (MMP-10)	6
Positive regulator of the amidase operon AmiR	6
Dipeptide-binding protein	6
Cervical EMMPRIN	6
Birnavirus VP2	6
Baseplate structural protein gp11	6
Potassium channel KVAP	6
Dimerisation domain of CENP-B	6
Myosin heavy chain, cardiac muscle beta isoform	6
Distinctin chain A	6
Baseplate protein (bpp), N-terminal domain	6
Probable aromatic acid decarboxylase Pad1	6
Hypothetical protein SO1960	6
Bifunctional dCTP deaminase/dUTPase	6
Hypothetical protein SO2946	6
Chalcone synthase, C-terminal domain	6
Phenazine biosynthesis protein PhzF	6
Tombusvirus coat protein	6
Dom34	6
Docking protein 1, Dok1	6
Probable histone acetyltransferase MYST1	6
C5a anaphylotoxin	6
Hypothetical protein HP0242	6
Probable acyl-CoA hydrolase AGR_L_2016	6
Chalcone synthase, N-terminal domain	6
Hypothetical protein HI1388.1	6
ENY2	6
EPS8 SH3 domain	6
N-terminal domain of ClpB (heat shock protein F84.1)	6
Spliceosomal U2 small nuclear ribonucleoprotein A' / U2A' / Lea1 protein	6
Beta1-adrenergic GPCR	6
Topoisomerase IV subunit B	6
CD2-Gal4	6
N-terminal domain of NSF-N, NSF-Nn	6
Probable GTPase EngC (YjeQ), N-terminal domain	6
Baseplate protein (bpp), C-terminal domain	6
V-type ATP synthase subunit C	6
D-Tyr tRNAtyr deacylase, DTD	6
Hypothetical protein RHA1_ro05818	6
D-Ala-D-Ala ligase, N-domain	6
Dermonecrotic toxin, ToxA	6
Replication factor C4	6
Replication factor C3	6
Replication factor C1	6
Presynaptic protein sap97	6
Cell division protein kinase 9, CDK9	6
Uronate isomerase TM0064	6
Yeast AF-9 homolog YAF9	6
Spore coat polysaccharide biosynthesis protein C	6
cAMP-dependent protein kinase type I-alpha regulatory subunit	6
Reovirus attachment protein sigma 1 head domain	6
beta-cinnamomin	6
Hypothetical protein D-63	6
Emsy	6
Hypothetical protein TM0957	6
Hypothetical protein Cj0248	6
DsrC, the gamma subunit of dissimilatory sulfite reductase	6
Hypothetical protein TM1010	6
Transcriptional regulator SlyA	6
Pre-mRNA branch site protein p14	6
Desulfoferrodoxin C-terminal domain	6
Desulfoferrodoxin N-terminal domain	6
Probable GTPase EngC (YjeQ), C-terminal domain	6
Ribonuclease Sa2	6
Dimeric di-heme split-soret cytochrome c	6
Hypothetical protein GOS_2359375	6
Probable GTPase EngB	6
Multidrug tolerance (MDT) protein HipA N-terminal domain	6
Transcriptional repressor TraM	6
Salicylate synthetase Irp9	6
cAMP-dependent protein kinase inhibitor	6
Hypothetical protein MPN010	6
Phosphoglycolate phosphatase, PGPase	6
Phenylacetic acid degradation protein PaaI	6
Multidrug resistance ABC transporter LmrA, C-terminal domain	6
Structural protein HrcQ2, C-terminal domain	6
Staphylokinase	6
Dihydroorotate dehydrogenase B, PyrK subunit	6
Multidrug efflux transporter AcrB transmembrane domain	6
Signal recognition particle (SRP) complex	6
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (BPHD)	6
Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains	6
C-terminal domain of mollusc hemocyanin	6
Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	6
Di-heme cytochrome c peroxidase	6
Hypothetical protein MTH1675	6
Proteasome regulatory subunit Rpn6, N-terminal domain	6
Qbeta coat protein	6
Three prime repair exonuclease 2, TREX2	6
Acetate kinase	6
Alpa-adaptin AP2, C-terminal subdomain	6
Syringomycin biosynthesis enzyme 2, SyrB2	6
Common beta-chain in the GM-CSF, IL-3 and IL-5 receptors	6
Class I ketol-acid reductoisomerase (KARI)	6
RNA polymerase II mediator complex protein MED7	6
Histidine kinase CheA, C-terminal domain	6
Lassa virus (LASV) nucleoprotein (NP), N-terminal domain	6
Laminin alpha2 chain	6
Calcineurin (FKBP12.6)	6
PBCV-1 virus capsid, quasi-atomic model	6
p47phox NADPH oxidase	6
Putative phosphodiesterase MJ0936	6
Class I ketol-acid reductoisomerase	6
Alpha-adaptin AP2 ear domain, N-terminal subdomain	6
Allosteric chorismate mutase	6
Putative sigma cross-reacting protein 27A (SCRP-27A, EllB)	6
Fungal alpha-amylase	6
Class II MHC-associated invariant chain ectoplasmic trimerization domain	6
RNA 3'-terminal phosphate cyclase, RPTC, insert domain	6
Glial cell-derived neurotrophic factor, GDNF	6
UDP-murNac-tripeptide D-alanyl-D-alanine-adding enzyme MurF	6
Putative thioesterase SO4397	6
Hepatocyte growth factor receptor	6
Caricain (protease omega)	6
Allergen Fel d I-A chain	6
Collagen NC1 trimerisation domain	6
Gephyrin, domains 3 and 4	6
Gephyrin, domain 5	6
Gephyrin, C-terminal domain	6
Gephyrin N-terminal domain	6
Allergen Fel d I-B chain	6
[Fe]-hydrogenase/cytochrome c553 complex	6
Serine/threonine protein phosphatase 5, PP5	6
Histone deacetylase 8, HDAC8	6
Hit	6
Fusion glycoprotein f0	6
APOBEC2 (APO2)	6
AP6A hydrolase Ndx1	6
Vitamin D 25-hydroxylase Cyp2R1	6
gamma-carbonic anhydrase	6
UmuD'	6
Vitamin B12 binding protein BtuF	6
Putative hydroxylase AclR	6
Immunoglobulin heavy chain epsilon constant domain 4, CH4-epsilon	6
Aminoglycoside N-acetyltransferase AAC(6')-IY	6
Uncharacterized protein NpunR3134	6
Lipid binding protein YceI	6
Uncharacterised protein TTHA0675	6
Fungal alpha-amylases	6
Citrate lyase, beta subunit	6
Two-chain tissue plasminogen activator (TC)-T-PA	6
Ligand binding domain of lir-1 (ilt2)	6
GGDEF family protein VP0354, C-terminal domain	6
Carmovirus coat protein	6
GGDEF family protein VP0354, N-terminal domain	6
LexA C-terminal domain	6
Putative methyltransferase Atu0340	6
Cadmium efflux system accessory protein CadC	6
Ileal lipid-binding protein	6
CksHs2	6
Ubiquitin carboxyl-terminal hydrolase 8, USP8	6
ATPase domain of the glycerol dehydratase reactivase alpha subunit	6
Serine/threonine protein kinase TAO2	6
GYF domain from cd2bp2 protein	6
Ribosome biogenesis protein NEP1	6
Immunoglobulin heavy chain epsilon constant domain 3, CH3-epsilon	6
Putative outer membrane lipoprotein STM1585	6
Collagen I alpha	6
Hepatitis B viral capsid (hbcag)	6
UDP-N-acetylmuramyl tripeptide synthetase MurE	6
Interleukin 17F, IL-17F	6
Quinoline 2-oxidoreductase large subunit QorL, N-domain	6
Glycosyltransferase A catalytic domain	6
Glycolipid 2-alpha-mannosyltransferase	6
Glycogen synthase 1, GlgA	6
Pencillin binding protein 4 (PbpD), C-terminal domain	6
mRNA decapping enzyme Dcp2p, N-terminal domain	6
Papain-like protease PLpro, ubiquitin-like domain	6
Pyridoxamine kinase	6
Interferon-inducible GTPase	6
macro-H2A.1, histone domain	6
Pencillin binding protein 4 (PbpD), N-terminal domain	6
Pyrimidine nucleoside phosphorylase	6
Agglutinin MOA	6
Agglutinin MOA, N-terminal domain	6
Quinoline 2-oxidoreductase large subunit QorL	6
Coagulation factor IX (IXa)	6
HRV14 complexed with d1d2-ICAM-1	6
Coenzyme F420 dependent tetrahydromethanopterin reductase	6
Coenzyme A biosynthesis bifunctional protein CoaBC, phosphopantothenoylcysteine synthase domain (CoaB)	6
Grancalcin	6
Isoaspartyl dipeptidase, catalytic domain	6
Isoaspartyl dipeptidase	6
Adaptor protein Aps	6
Grb2-related adaptor protein 2 (Mona/Gads)	6
Carbonyl reductase sniffer	6
Carbonyl reductase/20beta-hydroxysteroid dehydrogenase	6
Activator of Hsp90 ATPase, Aha1	6
Invertase inhibitor	6
XTP pyrophosphatase	6
HERV-FRD_6p24.1 provirus ancestral Env polyprotein	6
Smad3 MH2 domain	6
Carbohydrate-recognition domain of P58/ERGIC-53	6
XPF endonuclease	6
RNA 3'-terminal phosphate cyclase, RPTC	6
'Isomerase domain' of glucosamine 6-phosphate synthase (GLMS)	6
Ktn Mja218	6
Insect picorna-like virus coat proteins	6
Alginate-binding periplasmic protein AlgQ2	6
Putative transcriptional regulator YggD	6
Glutaconate:CoA transferase alpha	6
Penicillin-binding protein 2x (pbp-2x), N-terminal domain	6
Calicheamicin glycosyltransferase CalG3	6
R-specific alcohol dehydrogenase	6
Heme-binding protein A (HasA)	6
Calcyclin-binding protein, CacyBP	6
RH3 designed right-handed coiled coil trimer	6
Inner nuclear membrane protein emerin	6
PPE41	6
PP7 coat protein	6
Acetylornithine/acetyl-lysine aminotransferase ArgD	6
Glutamate-1-semialdehyde aminomutase (aminotransferase)	6
TRF1	6
Calicivirus capsid protein	6
Alginate lyase A1-III	6
UBP3-associated protein BRE5	6
Integrase	6
Aldehyde reductase II	6
Acetyltransferase PglD	6
Kif1a head-microtubule complex	6
Cardiotoxin III	6
Kexin, N-terminal domain	6
Kexin, C-terminal domain	6
Heat-shock transcription factor	6
Heat-inducible transcription repressor HrcA, N-terminal domain	6
Heat-inducible transcription repressor HrcA, C-terminal domain	6
Cardiotoxin II	6
Lipoprotein NlpI	6
Cas1 C-terminal fragment	6
Aminoimidazole riboside kinase	6
Melanoma growth stimulating activity (MGSA)	6
Arp2/3 complex 41 kDa subunit ARPC1	6
Chromodomain protein CDY1, C-terminal domain	6
5'-nucleotidase YfbR	6
Hypothetical protein Aq_1966	6
Hypothetical protein YcdX	6
Meizothrombin	6
Hypothetical protein YbeY	6
5-carboxymethyl-2-hydroxymuconate isomerase (CHMI)	6
Exosome complex exonuclease RRP46	6
Exosome complex exonuclease RRP43	6
Exosome complex exonuclease RRP42	6
Exosome complex exonuclease RRP41	6
Thiamine-triphosphatase (ThTPase)	6
Exosome complex exonuclease MTR3	6
Chromosomal replication initiation factor DnaA	6
Copper resistance protein C (CopC, PcoC)	6
Hypothetical protein AF1834	6
Thermostable heterotrimeric coiled coil	6
Mammalian cytochrome p450 2c9	6
Arenavirus nucleoprotein C-terminal domain	6
Lissencephaly-1 protein (Lis-1, PAF-AH alpha) N-terminal domain	6
Fatty acid responsive transcription factor FadR, C-terminal domain	6
Uncharacterized protein CHU142	6
Uncharacterized protein DP1777	6
Hypothetical protein YhaI	6
Superantigen (mitogen) Ypm	6
Chromosomal replication initiation factor DnaA C-terminal domain IV	6
Hypothetical protein YfdW	6
Uncharacterized protein ECA1476	6
Phosphatidylethanolamine binding protein, PEBP	6
Uncharacterized protein ECA3500	6
Hypothetical protein YesE	6
Orphan nuclear receptor NR5a2 (LRH-1)	6
Vegetative insecticidal protein 2 (VIP2)	6
Merlin	6
4-hydroxybenzoyl CoA thioesterase	6
Exochitosanase CsxA, domains 2, 4 and 5	6
Cullin-4A	6
dCMP hydroxymethylase	6
Hypothetical protein Ta0994	6
Trp Ca-channel kinase domain	6
Uncharacterized protein NE2398	6
Peroxisomal 3,2-trans-enoyl-CoA isomerase	6
Uncharacterized protein Jann4075	6
Hypothetical protein BC4920 (YojJ)	6
Catechol oxidase	6
Succinylglutamate desuccinylase AstE	6
Polcalcin Che a 3	6
Ets DNA-binding protein pokkuri (Yan)	6
Hypothetical protein TTHA0727	6
Protein UTR4	6
Methyl-accepting chemotaxis protein PctA	6
Cullin homolog 1, Cul-1	6
Plexin-B1	6
Methuselah ectodomain	6
Autoinducer 2 sensor kinase/phosphatase LuxQ	6
Trypanosoma sialidase	6
Trypanosoma sialidase, C-terminal domain	6
Ataxin-1	6
Methionine aminopeptidase, insert domain	6
Orotate PRTase	6
Hypothetical protein VC0802	6
Catalytic, N-terminal domain of histone methyltransferase Dot1l	6
Uncharacterized protein LP2664	6
Aspartate receptor, ligand-binding domain	6
4-oxalocrotonate tautomerase homologue YdcE	6
434 C1 repressor, DNA-binding domain	6
Ciliary neurotrophic factor (CNTF)	6
Fatty acid responsive transcription factor FadR, N-terminal domain	6
Putative asparaginyl hydroxylase YxbC	6
Annexin V	6
Putative alanine aminotransferase	6
Plasmid segregation protein ParM	6
Villin	6
Hypothetical methyltransferase PH1305	6
Follicle-stimulating hormone receptor	6
Anti-sigma factor FlgM	6
CRISPR-associated protein Csa2	6
Hypothetical Protein YjhP	6
Hypothetical protein yfiH	6
Lysyl oxidase PplO, domains 1 and 2	6
Lysyl oxidase PplO, domain 3	6
Hypotheical protein MJ1564	6
Hydroxysteroid sulfotransferase sult2a1	6
RhoC	6
Angiotensin converting enzyme, ACE	6
Phosphotransferase IIa-mannitol	6
Virus envelope proteins	6
LysR-type regulatory protein Cbl	6
Snake venom metalloprotease	6
gamma-Cardiotoxin	6
Swiveling domain of the glycerol dehydratase reactivase alpha subunit	6
Photoactive yellow protein, PYP	6
Ribosomal protein L4	6
Low affinity neurotrophin receptor p75NTR, domain 4	6
Low affinity neurotrophin receptor p75NTR, domain 2 and domain 3	6
Low affinity neurotrophin receptor p75NTR, domain 1	6
Long chain fatty acid-CoA ligase TT0168	6
Aminotransferase homolog WlaK (PglE, Cj1121c)	6
Hydrogenase-1 operon protein HyaE	6
ADP-ribosylation factor binding protein Gga1 domain	6
Rusticyanin	6
Menin N-terminal domain	6
Hypothetical oxidoreductase SP0622	6
Suppressor of Fused, N-terminal domain	6
Uncharacterized protein BQLF2	6
Ribosomal protein L27	6
Ferredoxin	6
SeqA	6
Rab27b	6
Maltose O-acetyltransferase	6
Uncharacterized protein BH2835	6
Peridinin-chlorophyll protein	6
Archaeal histone	6
Feruloyl esterase A	6
Hypothetical protein AF1432	6
Putative ATP-binding cobalamin adenosyltransferase YvqK	6
7-alpha-hydroxysteroid dehydrogenase	6
Outer membrane protein OprM	6
Uncharacterized protein BB2672	6
Aphrodisin, a sex pheromone	6
Maguk p55 subfamily member 5, Patj	6
Putative acetylxylan esterase At4g34215	6
Flavocytochrome b2, N-terminal domain	6
Hypothetical oxidoreductase YdhF	6
Pre-mRNA splicing factor Cwf10, domain 3	5
Pre-mRNA splicing factor Cwf10, N-terminal domain	5
Vacuolar ATP synthase subunit C	5
Sensory rhodopsin II transducer, Htr2	5
Nuclear receptor coactivator Src-1	5
Signal recognition particle receptor, FtsY	5
Polymerase regulatory subunit VP39	5
Small nuclear ribonucleoprotein G	5
Plant pathogenesis-related protein PR10	5
CD59	5
Novel antigen receptor (against lysozyme)	5
Pre-mRNA splicing factor Clf1	5
P300/CAF histone acetyltransferase bromodomain	5
Cell death protein 4, CED-4	5
Cyanuric acid amidohydrolase	5
Outer membrane protein yopN (LcrE)	5
Vacuolar protein sorting-associated protein VPS36	5
Peripheral plasma membrane protein cask	5
Pleckstrin	5
Peptide chain release factor 1, RF1	5
Pelle death domain	5
Pre-mRNA splicing factor Cwf10, domain 5	5
Polymerase basic protein 1, PB1	5
Sister chromatid cohesion protein 1 (SCC1), C-terminal domain	5
Hypothetical protein PA4608	5
Ornithodorin	5
Smac/diablo	5
Arginine:agmatine antiporter	5
Pre-mRNA splicing factor Cwf10, domain II	5
Rab9a	5
Arp2/3 complex 21 kDa subunit ARPC3	5
Proteinase K	5
Ribosomal protein L5	5
Tumor necrosis factor receptor superfamily member 4, OX40L receptor, C-terminal domain	5
Protein arginine N-methyltransferase 1, PRMT1	5
Auxilin J-domain	5
Rab11 family-interacting protein 2	5
Rab1a	5
Proteasome regulatory subunit Rpn7, N-terminal domain	5
Proteasome regulatory subunit Rpn5, N-terminal domain	5
Microtubule-associated proteins 1A/1B light chain 3B	5
Proteasome regulatory subunit Rpn5, C-terminal domain	5
Mitochondria fission protein Fis1	5
Epidermal growth factor, EGF	5
Fibrillarin homologue	5
Hypothetical protein YdhR	5
Proteasome regulatory particle base subunit Rpt6, OB-fold domain	5
Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain	5
Proteasome regulatory particle base subunit Rpt6, C-terminal domain	5
Proteasome regulatory particle base subunit Rpt5, OB-fold domain	5
Proteasome regulatory particle base subunit Rpt5, C-terminal domain	5
Proteasome regulatory particle base subunit Rpt4, OB-fold domain	5
Proteasome regulatory particle base subunit Rpt4, C-terminal domain	5
Proteasome regulatory particle base subunit Rpt2, OB-fold domain	5
Proteasome regulatory particle base subunit Rpt2, C-terminal domain	5
Hypothetical protein YaaE	5
Thiol:disulfide interchange protein DsbD, C-terminal domain (DsbD-gamma)	5
BAP2/IRSp53 N-terminal domain	5
TyeA	5
ATPase subunit F6	5
Endo-alpha-mannosidase	5
GTPase domain of the signal recognition particle receptor FtsY	5
TFIIF alpha subunit, Rap74	5
Glucose permease domain IIB	5
Ubiquitin carboxyl-terminal hydrolase 2, USP2	5
Gonadotropin B chain	5
Large chain TOA1, C-terminal domain	5
TNF receptor associated factor 3 (TRAF3)	5
Late endosomal/lysosomal Mp1 interacting protein p14	5
Ribosomal protein TL5 (general stress protein CTC)	5
Pre-mRNA splicing factor Cwf10, domain IV	5
Activated protein c (autoprothrombin IIa)	5
TRAF3	5
Intermedilysin N-terminal domain	5
Intermedilysin C-terminal domain	5
GTPase Era, N-terminal domain	5
Histone acyltransferase p300	5
GTPase Era C-terminal domain	5
Ubiquitin carboxyl-terminal hydrolase isozyme l1	5
HSV glycoprotein D	5
Lin-7	5
mat alpha2 Homeodomain	5
Integrin beta-4 subunit	5
Integrin alpha2-beta1	5
Integration host factor beta subunit (IHFB)	5
Anti-sigma factor AsiA	5
MEK binding partner 1, MP1	5
Surface presentation of antigens protein SpaS	5
Apoptosis regulator ced-9	5
RNA polymerase II holoenzyme component SRB7 (MED21)	5
chymotrypsin inhibitor WCI	5
Proteasome regulatory subunit Rpn7, C-terminal domain	5
TBP-binding domain of the transcription factor IIIb Brf1 subunit	5
Procarboxypeptidase A	5
Blood-sucking insect-derived tryptase inhibitor	5
Proapoptotic molecule Bax	5
beta-lactamase-inhibitor protein, BLIP	5
Sec-beta subunit	5
Discs large protein homolog	5
NADH-quinone oxidoreductase subunit M, NuoM/Nqo13	5
N-terminal domain of enzyme I of the PEP:sugar phosphotransferase system	5
26S proteasome non-ATPase regulatory subunit 10, gankyrin	5
NTF2-like domain of mRNA export factor MEX67	5
Dynein light chain 2A, cytoplasmic	5
(s)-1-phenylethanol dehydrogenase	5
Ribonuclease inhibitor	5
(Pro)colipase	5
Pre-mRNA splicing factor Cwf4 / Syf3	5
Pre-mRNA splicing factor Prp5 / Cwf1	5
DNA helicase RuvA subunit, N-terminal domain	5
DNA helicase RuvA subunit, middle domain	5
Myelin oligodendrocyte glycoprotein (MOG)	5
Prolactin receptor	5
multi-copper oxidase CueO, N- and middle domain	4
Restriction endonuclease MspI	4
Agrin	4
YfiT	4
2-dehydro-3-deoxy-galactarate aldolase	4
Aclacinomycin-10-hydroxylase RdmB	4
Putrescine receptor (PotF)	4
Ribonuclease P protein component 3, Rnp3	4
multi-copper oxidase CueO, C-terminal domain	4
Cardiotoxin IV	4
Putidaredoxin reductase, middle domain	4
Carbon storage regulator homolog, CsrA	4
tRNA pseudouridine synthase TruD	4
Ribosomal protein S12	4
p-Cresol methylhydroxylase, cytochrome c subunit	4
Acetyl-CoA decarbonylase/synthase complex epsilon subunit 2, ACDE2	4
RNA guanylyltransferase (mRNA capping enzyme)	4
Restriction endonuclease EcoO109IR	4
Calpain large subunit, middle domain (domain III)	4
Restriction endonuclease BstyI	4
Calpain large subunit, C-terminal domain (domain IV)	4
Putidaredoxin reductase, N- and C-terminal domain	4
Putidaredoxin reductase	4
RNA guanylyltransferase (mRNA capping enzyme), N-terminal domain	4
Acetylcholine receptor protein, alpha chain	4
Quinoline 2-oxidoreductase small subunit QorS, C-domain	4
Quinoline 2-oxidoreductase small subunit QorS, N-domain	4
Pyrone synthase (PyS, chalcone synthase 2), N-terminal domain	4
Pyrone synthase (PyS, chalcone synthase 2), C-terminal domain	4
mRNA capping enzyme alpha subunit	4
Adrenodoxin-like ferredoxin	4
Carbon catabolite-derepressing protein kinase SNF1	4
Agglutinin	4
(Pro)phytepsin	4
(S)-3-O-geranylgeranylglyceryl phosphate synthase	4
1-aminocyclopropane-1-carboxylate synthase (ACC synthase)	4
Acylphosphatase	4
Acyl-CoA binding protein	4
Carboxylate-amine ligase YbdK	4
Retinoic acid-binding protein	4
Carboxypeptidase A inhibitor	4
16-heme cytochrome c HmcA	4
1D-myo-inosityl 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase MshD	4
Photosystem I reaction center subunit XI, PsaL	4
2'-5'-oligoadenylate synthetase 1, OAS1, N-terminal domain	4
lambda ser/thr protein phosphatase	4
Quinolinate synthetase A, NadA	4
Ribonuclease 4	4
2'-5'-oligoadenylate synthetase 1, OAS1, second domain	4
Ribonuclease II family protein DR0020	4
Restriction endonuclease NaeI	4
Acetyl-CoA carboxylase, BC-N subdomain	4
4-alpha-glucanotransferase, domain 2	4
Acetyl-CoA carboxylase, BC-M subdomain	4
tRNA (guanine-N(7)-)-methyltransferase TrmB	4
Replication factor C5	4
Phospholipase C-beta-2	4
6-phosphogluconate dehydratase EDD	4
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase, kinase domain	4
Replication factor C2	4
6-phospho-beta-D-galactosidase, PGAL	4
RabGEF Mss4	4
Sex-lethal protein	4
3-phosphoinositide dependent protein kinase-1	4
3-phosphoinositide dependent protein kinase-1 Pdk1	4
5,10-methenyltetrahydrofolate synthetase homolog MPN348	4
Ribosomal RNA-processing protein 4, RRP4	4
Renal dipeptidase	4
Ribosomal protein L1	4
5'-AMP-activated protein kinase subunit beta-1	4
Regulatory protein AsnC	4
Regulator of nonsense transcripts 2, UPF2	4
Phosphoribosylformimino-5-aminoimidazole carboxamide ribotite isomerase HisA	4
5' to 3' exonuclease domain of DNA polymerase Taq	4
Rap1 GTPase-activating protein 1, Rap1GAP	4
Cathepsin C (dipeptidyl peptidase I), catalytic domain	4
4-alpha-glucanotransferase, C-terminal domain	4
Recombination-activating protein RAG1	4
Recombinational repair protein RecO, C-terminal domain	4
Recombinational repair protein RecO, N-terminal domain	4
4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate kinase (HMP-phosphate kinase, ThiD)	4
4-alpha-glucanotransferase, N-terminal domain	4
Rab4a	4
Aldehyde ferredoxin oxidoreductase	4
Restriction endonuclease BglII	4
Replication protein Rep, nuclease domain	4
